assignment_id,code_version,n_reference,n_selected,is_ranked,response_time_s
27,birds-1,8,2,1,7.037
27,birds-1,8,2,1,11.283
27,birds-1,8,2,1,9.673
27,birds-1,8,2,1,7.267
27,birds-1,8,2,1,9.198
27,birds-1,8,2,1,7.883
27,birds-1,8,2,1,7.776
27,birds-1,8,2,1,7.133
27,birds-1,8,2,1,12.695
27,birds-1,8,2,1,5.855
27,birds-1,8,2,1,7.86
27,birds-1,8,2,1,11.696
27,birds-1,8,2,1,8.557
27,birds-1,8,2,1,9.742
27,birds-1,8,2,1,11.403
27,birds-1,8,2,1,13.064
27,birds-1,8,2,1,15.966
27,birds-1,8,2,1,16.371
27,birds-1,8,2,1,10.779
27,birds-1,8,2,1,16.064
28,birds-1,8,2,1,50.939
28,birds-1,8,2,1,4.536
28,birds-1,8,2,1,8.508
28,birds-1,8,2,1,5.01
28,birds-1,8,2,1,7.352
28,birds-1,8,2,1,2.891
28,birds-1,8,2,1,4.7
28,birds-1,8,2,1,16.766
28,birds-1,8,2,1,11.278
28,birds-1,8,2,1,7.481
28,birds-1,8,2,1,7.76
28,birds-1,8,2,1,10.391
28,birds-1,8,2,1,11.035
28,birds-1,8,2,1,8.31
28,birds-1,8,2,1,5.38
28,birds-1,8,2,1,4.955
28,birds-1,8,2,1,8.379
28,birds-1,8,2,1,12.734
28,birds-1,8,2,1,18.148
28,birds-1,8,2,1,6.065
28,birds-1,8,2,1,4.623
28,birds-1,8,2,1,11.878
28,birds-1,8,2,1,5.964
28,birds-1,8,2,1,5.113
28,birds-1,8,2,1,13.733
28,birds-1,8,2,1,6.863
28,birds-1,8,2,1,7.895
29,birds-1,8,2,1,35.503
29,birds-1,8,2,1,5.092
29,birds-1,8,2,1,8.444
29,birds-1,8,2,1,8.451
29,birds-1,8,2,1,7.334
29,birds-1,8,2,1,5.958
29,birds-1,8,2,1,7.193
29,birds-1,8,2,1,4.702
29,birds-1,8,2,1,5.85
29,birds-1,8,2,1,7.822
29,birds-1,8,2,1,9.152
29,birds-1,8,2,1,7.362
29,birds-1,8,2,1,9.076
29,birds-1,8,2,1,10.368
29,birds-1,8,2,1,10.11
29,birds-1,8,2,1,7.75
29,birds-1,8,2,1,5.387
29,birds-1,8,2,1,7.94
29,birds-1,8,2,1,7.712
29,birds-1,8,2,1,6.326
29,birds-1,8,2,1,4.356
29,birds-1,8,2,1,5.988
29,birds-1,8,2,1,5.607
29,birds-1,8,2,1,5.561
29,birds-1,8,2,1,6.833
29,birds-1,8,2,1,7.433
29,birds-1,8,2,1,6.385
30,birds-1,8,2,1,25.265
30,birds-1,8,2,1,5.942
30,birds-1,8,2,1,6.197
30,birds-1,8,2,1,4.413
30,birds-1,8,2,1,7.718
30,birds-1,8,2,1,5.015
30,birds-1,8,2,1,5.385
30,birds-1,8,2,1,5.695
30,birds-1,8,2,1,3.372
30,birds-1,8,2,1,7.515
30,birds-1,8,2,1,6.015
30,birds-1,8,2,1,8.04
30,birds-1,8,2,1,4.116
30,birds-1,8,2,1,2.997
30,birds-1,8,2,1,5.194
30,birds-1,8,2,1,3.908
30,birds-1,8,2,1,4.729
30,birds-1,8,2,1,5.224
30,birds-1,8,2,1,3.073
30,birds-1,8,2,1,5.083
30,birds-1,8,2,1,2.568
30,birds-1,8,2,1,26.74
30,birds-1,8,2,1,3.629
30,birds-1,8,2,1,10.853
30,birds-1,8,2,1,6.724
30,birds-1,8,2,1,7.092
30,birds-1,8,2,1,7.126
31,birds-1,8,2,1,34.72
31,birds-1,8,2,1,8.758
31,birds-1,8,2,1,9.459
31,birds-1,8,2,1,8.412
31,birds-1,8,2,1,10.83
31,birds-1,8,2,1,8.976
31,birds-1,8,2,1,16.565
31,birds-1,8,2,1,13.972
31,birds-1,8,2,1,9.268
31,birds-1,8,2,1,8.369
31,birds-1,8,2,1,8.324
31,birds-1,8,2,1,6.545
31,birds-1,8,2,1,9.829
31,birds-1,8,2,1,10.547
31,birds-1,8,2,1,9.081
31,birds-1,8,2,1,9.679
31,birds-1,8,2,1,10.61
31,birds-1,8,2,1,15.628
31,birds-1,8,2,1,10.005
31,birds-1,8,2,1,10.04
31,birds-1,8,2,1,8.064
31,birds-1,8,2,1,11.516
31,birds-1,8,2,1,11.794
31,birds-1,8,2,1,11.438
31,birds-1,8,2,1,11.216
31,birds-1,8,2,1,17.305
31,birds-1,8,2,1,15.856
32,birds-1,8,2,1,20.834
32,birds-1,8,2,1,8.628
32,birds-1,8,2,1,23.564
32,birds-1,8,2,1,8.298
32,birds-1,8,2,1,11.389
32,birds-1,8,2,1,9.252
32,birds-1,8,2,1,7.226
32,birds-1,8,2,1,10.508
32,birds-1,8,2,1,14.728
32,birds-1,8,2,1,6.87
32,birds-1,8,2,1,7.61
32,birds-1,8,2,1,6.418
32,birds-1,8,2,1,4.65
32,birds-1,8,2,1,11.972
32,birds-1,8,2,1,11.494
32,birds-1,8,2,1,8.874
32,birds-1,8,2,1,14.283
32,birds-1,8,2,1,8.682
32,birds-1,8,2,1,14.285
32,birds-1,8,2,1,9.274
32,birds-1,8,2,1,16.192
32,birds-1,8,2,1,9.222
32,birds-1,8,2,1,16.692
32,birds-1,8,2,1,9.27
32,birds-1,8,2,1,4.519
32,birds-1,8,2,1,11.157
32,birds-1,8,2,1,13.458
33,birds-1,8,2,1,19.82
33,birds-1,8,2,1,5.022
33,birds-1,8,2,1,9.435
33,birds-1,8,2,1,4.436
33,birds-1,8,2,1,6.364
33,birds-1,8,2,1,8.965
33,birds-1,8,2,1,4.17
33,birds-1,8,2,1,11.073
33,birds-1,8,2,1,11.017
33,birds-1,8,2,1,4.273
33,birds-1,8,2,1,9.064
33,birds-1,8,2,1,8.992
33,birds-1,8,2,1,8.193
33,birds-1,8,2,1,9.533
