assignment_id,code_version,n_reference,n_select,is_ranked,response_time_s
297,rocks-0-random-0,8,2,1,7.636
297,rocks-0-random-0,8,2,1,14.104
297,rocks-0-random-0,8,2,1,13.902
297,rocks-0-random-0,8,2,1,10.764
297,rocks-0-random-0,8,2,1,5.3
297,rocks-0-random-0,8,2,1,13.3
297,rocks-0-random-0,8,2,1,5.446
297,rocks-0-random-0,8,2,1,7.989
297,rocks-0-random-0,8,2,1,4.362
297,rocks-0-random-0,8,2,1,6.304
297,rocks-0-random-0,8,2,1,8.034
297,rocks-0-random-0,8,2,1,6.805
297,rocks-0-random-0,8,2,1,5.168
297,rocks-0-random-0,8,2,1,6.387
297,rocks-0-random-0,8,2,1,10.231
297,rocks-0-random-0,8,2,1,7.387
297,rocks-0-random-0,8,2,1,9.21
297,rocks-0-random-0,8,2,1,7.204
297,rocks-0-random-0,8,2,1,5.286
297,rocks-0-random-0,8,2,1,5.339
297,rocks-0-random-0,8,2,1,6.729
297,rocks-0-random-0,8,2,1,7.237
298,rocks-0-random-0,8,2,1,32.353
298,rocks-0-random-0,8,2,1,18.221
298,rocks-0-random-0,8,2,1,39.505
298,rocks-0-random-0,8,2,1,18.122
298,rocks-0-random-0,8,2,1,44.872
298,rocks-0-random-0,8,2,1,27.259
298,rocks-0-random-0,8,2,1,39.768
298,rocks-0-random-0,8,2,1,35.965
298,rocks-0-random-0,8,2,1,18.591
298,rocks-0-random-0,8,2,1,21.102
298,rocks-0-random-0,8,2,1,29.028
298,rocks-0-random-0,8,2,1,21.164
298,rocks-0-random-0,8,2,1,11.02
298,rocks-0-random-0,8,2,1,37.789
298,rocks-0-random-0,8,2,1,26.489
298,rocks-0-random-0,8,2,1,19.465
298,rocks-0-random-0,8,2,1,28.09
298,rocks-0-random-0,8,2,1,21.562
298,rocks-0-random-0,8,2,1,31.369
298,rocks-0-random-0,8,2,1,27.215
298,rocks-0-random-0,8,2,1,33.783
298,rocks-0-random-0,8,2,1,16.975
298,rocks-0-random-0,8,2,1,19.36
298,rocks-0-random-0,8,2,1,31.763
298,rocks-0-random-0,8,2,1,29.853
298,rocks-0-random-0,8,2,1,37.077
298,rocks-0-random-0,8,2,1,14.868
299,rocks-0-random-0,8,2,1,13.883
299,rocks-0-random-0,8,2,1,4.605
299,rocks-0-random-0,8,2,1,5.158
299,rocks-0-random-0,8,2,1,6.05
299,rocks-0-random-0,8,2,1,5.6
299,rocks-0-random-0,8,2,1,4.278
299,rocks-0-random-0,8,2,1,6.212
299,rocks-0-random-0,8,2,1,4.431
299,rocks-0-random-0,8,2,1,20.938
299,rocks-0-random-0,8,2,1,3.776
299,rocks-0-random-0,8,2,1,6.106
299,rocks-0-random-0,8,2,1,6.075
299,rocks-0-random-0,8,2,1,3.418
299,rocks-0-random-0,8,2,1,3.438
299,rocks-0-random-0,8,2,1,2.744
299,rocks-0-random-0,8,2,1,4.25
299,rocks-0-random-0,8,2,1,4.869
299,rocks-0-random-0,8,2,1,5.693
299,rocks-0-random-0,8,2,1,5.15
299,rocks-0-random-0,8,2,1,3.613
299,rocks-0-random-0,8,2,1,7.705
299,rocks-0-random-0,8,2,1,4.321
299,rocks-0-random-0,8,2,1,4.7
299,rocks-0-random-0,8,2,1,3.94
299,rocks-0-random-0,8,2,1,4.552
299,rocks-0-random-0,8,2,1,3.685
299,rocks-0-random-0,8,2,1,4.219
300,rocks-0-random-0,8,2,1,18.153
300,rocks-0-random-0,8,2,1,5.548
300,rocks-0-random-0,8,2,1,8.798
300,rocks-0-random-0,8,2,1,9.457
300,rocks-0-random-0,8,2,1,6.541
300,rocks-0-random-0,8,2,1,8.548
300,rocks-0-random-0,8,2,1,8.764
300,rocks-0-random-0,8,2,1,36.778
300,rocks-0-random-0,8,2,1,4.961
300,rocks-0-random-0,8,2,1,3.678
300,rocks-0-random-0,8,2,1,9.516
300,rocks-0-random-0,8,2,1,4.486
300,rocks-0-random-0,8,2,1,5.459
300,rocks-0-random-0,8,2,1,3.531
300,rocks-0-random-0,8,2,1,3.88
300,rocks-0-random-0,8,2,1,4.524
300,rocks-0-random-0,8,2,1,4.487
300,rocks-0-random-0,8,2,1,3.615
300,rocks-0-random-0,8,2,1,3.585
300,rocks-0-random-0,8,2,1,3.359
300,rocks-0-random-0,8,2,1,3.512
300,rocks-0-random-0,8,2,1,4.565
300,rocks-0-random-0,8,2,1,45.353
300,rocks-0-random-0,8,2,1,3.559
300,rocks-0-random-0,8,2,1,4.726
300,rocks-0-random-0,8,2,1,2.915
300,rocks-0-random-0,8,2,1,4.579
301,rocks-0-random-0,8,2,1,42.93
301,rocks-0-random-0,8,2,1,16.455
301,rocks-0-random-0,8,2,1,8.285
301,rocks-0-random-0,8,2,1,16.341
301,rocks-0-random-0,8,2,1,22.665
301,rocks-0-random-0,8,2,1,5.865
301,rocks-0-random-0,8,2,1,29.937
301,rocks-0-random-0,8,2,1,6.919
301,rocks-0-random-0,8,2,1,13.786
301,rocks-0-random-0,8,2,1,10.344
301,rocks-0-random-0,8,2,1,13.938
301,rocks-0-random-0,8,2,1,13.965
301,rocks-0-random-0,8,2,1,11.159
301,rocks-0-random-0,8,2,1,13.047
301,rocks-0-random-0,8,2,1,16.075
301,rocks-0-random-0,8,2,1,23.236
301,rocks-0-random-0,8,2,1,17.091
301,rocks-0-random-0,8,2,1,10.494
301,rocks-0-random-0,8,2,1,17.007
301,rocks-0-random-0,8,2,1,11.265
301,rocks-0-random-0,8,2,1,16.659
301,rocks-0-random-0,8,2,1,13.167
301,rocks-0-random-0,8,2,1,11.552
301,rocks-0-random-0,8,2,1,14.593
301,rocks-0-random-0,8,2,1,11.743
301,rocks-0-random-0,8,2,1,15.204
301,rocks-0-random-0,8,2,1,14.195
302,rocks-0-random-0,8,2,1,44.261
302,rocks-0-random-0,8,2,1,25.043
302,rocks-0-random-0,8,2,1,6.872
302,rocks-0-random-0,8,2,1,10.244
302,rocks-0-random-0,8,2,1,13.698
302,rocks-0-random-0,8,2,1,11.524
302,rocks-0-random-0,8,2,1,12.732
302,rocks-0-random-0,8,2,1,10.62
302,rocks-0-random-0,8,2,1,3.593
302,rocks-0-random-0,8,2,1,3.616
302,rocks-0-random-0,8,2,1,8.214
302,rocks-0-random-0,8,2,1,7.765
302,rocks-0-random-0,8,2,1,6.665
302,rocks-0-random-0,8,2,1,3.839
302,rocks-0-random-0,8,2,1,7.361
302,rocks-0-random-0,8,2,1,5.223
302,rocks-0-random-0,8,2,1,7.872
302,rocks-0-random-0,8,2,1,4.461
302,rocks-0-random-0,8,2,1,5.523
302,rocks-0-random-0,8,2,1,5.58
302,rocks-0-random-0,8,2,1,4.938
302,rocks-0-random-0,8,2,1,5.971
302,rocks-0-random-0,8,2,1,5.426
302,rocks-0-random-0,8,2,1,8.054
302,rocks-0-random-0,8,2,1,4.714
302,rocks-0-random-0,8,2,1,6.197
302,rocks-0-random-0,8,2,1,8.82
303,rocks-0-random-0,8,2,1,5.2
303,rocks-0-random-0,8,2,1,5.117
303,rocks-0-random-0,8,2,1,4.14
303,rocks-0-random-0,8,2,1,4.284
303,rocks-0-random-0,8,2,1,4.702
303,rocks-0-random-0,8,2,1,4.364
303,rocks-0-random-0,8,2,1,3.898
303,rocks-0-random-0,8,2,1,4.228
303,rocks-0-random-0,8,2,1,3.423
303,rocks-0-random-0,8,2,1,3.599
303,rocks-0-random-0,8,2,1,3.336
303,rocks-0-random-0,8,2,1,8.968
303,rocks-0-random-0,8,2,1,4.292
303,rocks-0-random-0,8,2,1,4.635
303,rocks-0-random-0,8,2,1,4.402
303,rocks-0-random-0,8,2,1,7.115
303,rocks-0-random-0,8,2,1,5.021
303,rocks-0-random-0,8,2,1,4.27
303,rocks-0-random-0,8,2,1,4.371
303,rocks-0-random-0,8,2,1,4.315
303,rocks-0-random-0,8,2,1,3.928
303,rocks-0-random-0,8,2,1,3.524
303,rocks-0-random-0,8,2,1,4.787
303,rocks-0-random-0,8,2,1,5.068
303,rocks-0-random-0,8,2,1,3.534
303,rocks-0-random-0,8,2,1,3.163
303,rocks-0-random-0,8,2,1,6.111
304,rocks-0-random-0,8,2,1,48.452
304,rocks-0-random-0,8,2,1,15.054
304,rocks-0-random-0,8,2,1,16.385
304,rocks-0-random-0,8,2,1,13.341
304,rocks-0-random-0,8,2,1,13.641
304,rocks-0-random-0,8,2,1,10.282
304,rocks-0-random-0,8,2,1,9.888
304,rocks-0-random-0,8,2,1,12.44
304,rocks-0-random-0,8,2,1,20.309
304,rocks-0-random-0,8,2,1,12.804
304,rocks-0-random-0,8,2,1,9.731
304,rocks-0-random-0,8,2,1,14.642
304,rocks-0-random-0,8,2,1,19.849
304,rocks-0-random-0,8,2,1,24.103
304,rocks-0-random-0,8,2,1,14.597
304,rocks-0-random-0,8,2,1,27.047
304,rocks-0-random-0,8,2,1,13.836
